,0,1,2
1,악! 그럴 거면 인터넷 주문하자!,0,"['악', '!', '그렇', '?', '거', '이', '면', '인터넷', '주문', '하', '자', '!']"
2,저러고 결과 어떻게 나오나 보자,0,"['저렇', '으고', '결과', '어떻', '게', '나오', '나', '보', '자']"
3,낳음 당한 현실이 정말 싫다,0,"['낳', '음', '당하', '?', '현실', '이', '정말', '싫', '다']"
4,그건 부모로서 당연히 해야할 의무 아니야?,0,"['그거', '?', '부모', '로서', '당연히', '하', '어야', '하', '?', '의무', '아니', '야', '?']"
5,철이 없는 소리좀 그만해,0,"['철', '이', '없', '는', '소리', '좀', '그만', '하', '어']"
6,나 애인 생겼어,0,"['나', '애인', '생기', '었', '어']"
7,얘 표절임,0,"['얘', '표', '절임']"
8,1등까지 했으면 인정해줘야지,0,"['1', '등', '까지', '하', '었', '으면', '인정', '하', '어', '주', '어야지']"
9,아 알바 뛰는 거 진짜 지친다 ...,0,"['아', '알바', '뛰', '는', '거', '진짜', '지치', '?다', '...']"
10,개한테 엄하게 한다고 욕하는 것들이 있네,0,"['개', '한테', '엄하', '게', '하', '?다고', ' ', '욕하', '는', '것', '들', '이', '있', '네', ' ']"
11,시골이었음 된장 발랐다.,0,"['시골', '이', '었', '음', '된장', '바르', '었', '다', '.']"
12,나 지금 샤워해야 하니까 싯고 톡할게,0,"['나', '지금', '샤워', '하', '어야', '하', '니까', '싯', '고', '톡', '하', '?', '것', '이']"
13,이미 알려 드렸잖아요,0,"['이미', '알리', '어', '드리', '었', '잖아요']"
14,다시 봐도 잘 모르겠더라구요...,0,"['다시', '보', '어도', '잘', '모르', '겠', '더라구요', '...']"
15,애 딸린 이혼남이랑 결혼하는 거 별론가요?,0,"['애', '딸리', '?', '이혼', '남', '이랑', '결혼', '하', '는', '거', '별로', '이', '?가요', '?']"
16,괜찮으면 왜 사람들이 그 사람이랑 결혼을 안 했겠어요,0,"['괜찮', '으면', '왜', '사람', '들', '이', '그', '사람', '이랑', '결혼', '을', '안', '하', '었', '겠', '어요', ' ']"
17,지 자식 키우기도 힘든 세상에 남의 자식 키우는 게 쉽겠냐?,0,"['지', '자식', '키우', '기', '도', '힘들', '?', '세상', '에', '남', '의', '자식', '키우', '는', '것', '이', '쉽', '겠', '냐', '?']"
18,서로 잘 지낼 수도 있는 거 아닌가요? 다들 말이 너무 심하시네요,0,"['서로', '잘', '지내', '?', '수', '도', '있', '는', '거', '아니', '?가', '요', '?', '다', '들', '말', '이', '너무', '심하', '시', '네요']"
19,글쓴이 정신 연령은 11세 정도인 듯 환상에 빠져서 자기 처지 생각도 안 하고 망상 속에 사는…,0,"['글쓴이', '정신', '연령', '은', '11', '세', '정도', '이', '?', '듯', '환상', '에', '빠지', '어서', '자기', '처지', '생각', '도', '안', '하', '고', '망상', '속', '에', '살', '는', '…']"
20,나 어제부터 생리하는데,0,"['나', '어제', '부터', '생리', '하', '는', '데']"
21,너 내 볼펜 가져갔어?,0,"['너', '내', '볼펜', '가져가', '었', '어', '?']"
22,내가 니 볼펜 가져가서 뭐하냐,0,"['나', '가', '니', '볼펜', '가져가', '어서', '뭐', '하', '냐']"
23,한국 영화들은 뭔가 애매해.,0,"['한국', '영화', '들', '은', '뭐', '이', '?가', '애매', '하', '어', '.']"
24,그래서 나는 그냥 할리우드 영화만 본다,0,"['그래서', '나', '는', '그냥', '할리우드', '영화', '만', '보', '?다']"
25,"알아? 여행 유튜버인데, 노래 잘 불러",0,"[' ', '이', '라고', '알', '어', '?', '여행', '유튜버', '이', '?데', ',', '노래', '잘', '부르', '어']"
26,"아니? 처음 들어본다, 나중에 찾아봐야지",0,"['아니', '?', '처음', '듣', '어', '보', '?다', ',', '나중', '에', '찾', '어', '보', '어야지']"
27,이번에 노래도 냈는데 완전 좋더라! 그것도 들어봐,0,"['이번', '에', '노래', '도', '내', '었', '는데', '완전', '좋', '더라', '!', '그것', '도', '듣', '어', '보', '어']"
28,난 게으른 J여서 계획을 잘 안 세워,0,"['나', '?', '게으르', '?', 'J', '이', '어서', '계획', '을', '잘', '안', '세우', '어']"
29,그냥 네가 게으른 거 아님?,0,"['그냥', '너', '가', '게으르', '?', '거', '아니', '?', '?']"
30,내가 어떻게 사는데?,0,"['나', '가', '어떻', '게', '살', '는데', '?']"
31,미접종자 차별이지 이건,0,"['미접', '종자', '차별', '이', '지', '이거', '?']"
32,백신패스 너무 한 것 같아,0,"['백신', '패스', '너무', '하', '?', '것', '같', '어']"
33,이런거 다 쓰레기 보내는거면서 좋은거 보내주는 척 생색만 더럽게 심하네,0,"['이런', '거', '다', '쓰레기', '보내', '는', '거', '이', '면서', '좋', '은', '거', '보내', '어', '주', '는', '척', '생색', '만', '더럽', '게', '심하', '네']"
34,하여튼 빈곤한 것들은 꼭 빈곤한 티를 내요 짜증나게,0,"['하여튼', '빈곤', '하', '?', '것', '들', '은', '꼭', '빈곤', '하', '?', '티', '를', '내', '어요', '짜증', '나', '게']"
35,최저 시급 알바에 눈이 멀어서 악플 쓰는 건 다 쓰레기야,0,"['최저', '시급', '알바', '에', '눈', '이', '멀', '어서', '악플', '쓰', '는', '거', '?', '다', '쓰레기', '야']"
36,나는 정치 성향이 좌파야,0,"['나', '는', '정치', '성향', '이', '좌파', '야']"
37,그 말은 좌파 성향의 지지자들을 비하하는 표현이야,0,"['그', '말', '은', '좌파', '성향', '의', '지지자', '들', '을', '비하', '하', '는', '표현', '이', '야']"
38,좌파를 싫어해서 일부러 비하용어를 사용하는 거야,0,"['좌파', '를', '싫어하', '어서', '일부러', '비하', '용어', '를', '사용', '하', '는', '거', '야']"
39,너도 봤어?,0,"['너', '도', ' ', '보', '었', '어', '?']"
40,나도 그거 재밌게 봤지,0,"['나', '도', '그거', '재밌', '게', '보', '었', '지']"
41,요즘 군대도 진짜 그럴까?,0,"['요즘', '군대', '도', '진짜', '그렇', '?까', '?']"
42,요즘 군대도 더하면 더했지,0,"['요즘', '군대', '도', '더', '하', '면', '더', '하', '었', '지']"
43,우리나라 언론은 무식에 집단 감염됐나 봐.,0,"['우리나라', '언론', '은', ' ', '의', '무식', '에', '집단', '감염', '되', '었', '나', '보', '어', '.']"
44,20대에 금수저에 오른 특권층이래.,0,"[' ', '보', '고', '20', '대', '에', '금수저', '에', '오르', '?', '특권', '층', '이', '래', '.']"
45,금수저 물고 태어났다는 말은 부모가 부자라는 뜻인 거 몰라?,0,"['금수저', '물', '고', '태어나', '었', '다는', '말', '은', '부모', '가', '부자', '이', '라는', '뜻', '이', '?', '거', '모르', '어', '?']"
46,저런 말을 했는데 언론은 지들도 몰라서 그러는지 입을 꾹 다물고 있다는 거지.,0,"['저런', '말', '을', '하', '었', '는데', '언론', '은', '지', '들', '도', '모르', '어서', '그렇', '는지', '입', '을', '꾹', '다물', '고', '있', '다는', '거', '이', '지', '.']"
47,연애코치들이 왜저래,0,"[' ', '연애', '코치', '들', '이', '왜', '저렇', '어']"
48,사장님 음식에서 이상한 냄새가 나요,0,"['사장', '님', '음식', '에서', '이상', '하', '?', '냄새', '가', '나', '어요']"
49,어디요 괜찮은데요,0,"['어디', '요', '괜찮', '은데', '요']"
50,약간 상한냄새나는데 잘 맡아보세요,0,"['약간', '상하', '?', '냄새나', '는', '데', '잘', '맡', '어', '보', '세', '요']"
51,이건 상한게 아니라 음식냄새입니다,0,"['이', '이', '건', '상하', '?', '것', '이', '아니', '라', '음식', '냄새', '이', '?니다']"
52,손님사유로 바꾸는거라 이음식도 계산합니다,0,"['손님', '사유', '로', '바꾸', '는', '거', '이', '라', '이', '음식', '도', '계산', '하', '?니다']"
53,무슨 소리에요 음식을 먹지도 안았는데,0,"['무슨', '소리', '이', '에요', '음식', '을', '먹', '지', '도', '안', '었', '는데']"
54,기분나빠 갈테니 음식취소에요,0,"['기분', '나쁘', '어', '가', '?', '터', '이', '니', '음식', '취소', '에', '요']"
55,그래도앞에 음식값은 주고 가시요,0,"['그래도', '앞', '에', '음식', '값', '은', '주', '고', '가', '시', '요']"
56,이탈리아 한복판에서 속옷 시위 하는 거 봤어?,0,"['이탈리아', '한', '복판', '에서', '속옷', '시위', '하', '는', '거', '보', '었', '어', '?']"
57,구조조정된 여승무원들이 그러는 거래,0,"['구조', '조정', '되', '?', '여승무원', '들', '이', '그러', '는', '거래']"
58,근데 걔네는 해직 문제를 왜 그런 방식으로 해결하려고 그러지?,0,"['근데', '걔', '네', '는', '해직', '문제', '를', '왜', '그렇', '은', '방식', '으로', '해결', '하', '려고', '그러', '지', '?']"
59,우리나라 여자 배구는 선수층이 얕은데다가 이제 김연경도 없으니 쉽지 않지,0,"['우리', '나라', '여자', '배구', '는', '선수', '층', '이', '얕', '은', '데', '다가', '이제', '김연경', '도', '없', '으니', '쉽', '지', '않', '지']"
60,그니까 아직도 배구 올려쳐주는 애들은 경기 보기는 하는 건가,0,"['그니까', '아직', '도', '배구', '올리', '어', '치', '어', '주', '는', '애', '들', '은', '경기', '보', '기', '는', '하', '는', '거', '?', '가', '어']"
61,아 배구 잘만 하면 진짜 재밌는 스포츠인데,0,"['아', '배', '이', '구', '잘', '만', '하', '면', '진짜', '재밌', '는', '스포츠', '이', '?데']"
62,문과 애들 불쌍해서 어떡하냐,0,"['문과', '애', '들', '불쌍', '하', '어서', '어떡하', '냐']"
63,신성한 운동장에서 화장을 처하고 있네?,0,"['신성', '하', '?', '운동장', '에서', '화장', '을', '처하', '고', '있', '네', '?']"
64,서울에 타지 사람들 좀 안 놀러 왔으면 좋겠다,0,"['서울', '에', '타지', '사람', '들', '좀', '안', '놀', '러', '오', '었', '으면', '좋', '겠', '다']"
65,왜? 나는 좋던데,0,"['왜', '?', '나', '는', '좋', '던데']"
66,그니까 나도 아이돌 해도 되겠어,0,"['그니까', '나', '도', '아이돌', '하', '어도', '되', '겠', '어']"
67,SNS 보면 요즘 다 유행하는 춤 추는 거 올리던데 왜 다 우르르르 따라댕기는 거냐,0,"['SNS', '보', '면', '요즘', '다', '유행', '하', '는', '춤', '추', '는', '거', '올리', '던데', '왜', '다', '우르르', '르', '따르', '어', '댕기', '는', '걸', '냐']"
